Order ID,Order Date,Ship Date,Customer Name,Salesperson,Region,State,Category,Product,Quantity (Tonnes),Price per Tonne (INR),Sales (INR),Profit (INR)
JSW-2022-0001,15-04-2022,28-04-2022,PNC Infratech,Rahul Sharma,North,Delhi,Special Steel,Alloy Steel,135,59628,8049780,570976.44
JSW-2022-0002,09-09-2023,12-09-2023,PNC Infratech,Priya Patel,Central,Chhattisgarh,Flat Steel,Hot Rolled Coils,57,59328,3381696,287103.06
JSW-2022-0003,07-01-2022,22-01-2022,Shapoorji Pallonji,Sneha Reddy,Central,Chhattisgarh,Flat Steel,Color Coated Sheets,311,63231,19664841,3370840.23
JSW-2022-0004,25-01-2023,29-01-2023,KEC International,Amit Singh,East,Jharkhand,Flat Steel,Cold Rolled Coils,500,67059,33529500,2190533.92
JSW-2022-0005,23-01-2023,27-01-2023,PNC Infratech,Amit Singh,Central,Chhattisgarh,Flat Steel,Color Coated Sheets,284,53180,15103120,2959718.62
JSW-2022-0006,22-08-2022,06-09-2022,NCC Limited,Rahul Sharma,Central,Chhattisgarh,Special Steel,Stainless Steel,370,49558,18336460,1042861.55
JSW-2022-0007,30-12-2022,05-01-2023,NCC Limited,Rahul Sharma,South,Tamil Nadu,Long Steel,Structural Steel,242,68909,16675978,1240661.32
JSW-2022-0008,04-10-2022,17-10-2022,PNC Infratech,Priya Patel,Central,MP,Special Steel,Tool Steel,135,55708,7520580,897498.74
JSW-2022-0009,09-03-2022,15-03-2022,IRB Infrastructure,Amit Singh,East,West Bengal,Flat Steel,Hot Rolled Coils,422,65673,27714006,3053382.8
JSW-2022-0010,29-07-2023,09-08-2023,NCC Limited,Vikram Nair,South,Kerala,Long Steel,Rails,83,62359,5175797,367194.58
JSW-2022-0011,04-04-2022,19-04-2022,Larsen & Toubro,Rahul Sharma,West,Goa,Long Steel,Structural Steel,122,54065,6595930,833916.46
JSW-2022-0012,03-09-2023,13-09-2023,PNC Infratech,Amit Singh,South,Karnataka,Special Steel,Alloy Steel,315,49163,15486345,1668113.15
JSW-2022-0013,19-10-2023,27-10-2023,Tata Projects,Amit Singh,Central,MP,Special Steel,Tool Steel,68,80190,5452920,886817.49
JSW-2022-0014,02-07-2022,13-07-2022,Tata Projects,Amit Singh,West,Maharashtra,Long Steel,TMT Bars,498,62261,31005978,6070450.05
JSW-2022-0015,28-06-2023,01-07-2023,IRB Infrastructure,Amit Singh,Central,MP,Flat Steel,Galvanized Sheets,400,55587,22234800,2910687.73
JSW-2022-0016,04-09-2022,16-09-2022,Tata Projects,Rahul Sharma,West,Maharashtra,Flat Steel,Galvanized Sheets,459,65153,29905227,2569392.7
JSW-2022-0017,19-06-2022,26-06-2022,PNC Infratech,Vikram Nair,West,Maharashtra,Special Steel,Stainless Steel,75,76148,5711100,1096687.12
JSW-2022-0018,13-02-2023,26-02-2023,KEC International,Sneha Reddy,West,Maharashtra,Special Steel,Tool Steel,363,58182,21120066,3314632.7
JSW-2022-0019,26-08-2023,06-09-2023,Afcons Infrastructure,Vikram Nair,Central,Chhattisgarh,Flat Steel,Cold Rolled Coils,125,49196,6149500,619333.57
JSW-2022-0020,05-12-2022,09-12-2022,PNC Infratech,Priya Patel,South,Tamil Nadu,Flat Steel,Hot Rolled Coils,127,49417,6275959,1166154.78
JSW-2022-0021,06-09-2022,21-09-2022,Dilip Buildcon,Sneha Reddy,East,Bihar,Flat Steel,Cold Rolled Coils,380,82423,31320740,4273143.29
JSW-2022-0022,25-02-2022,10-03-2022,Tata Projects,Rahul Sharma,South,Tamil Nadu,Flat Steel,Color Coated Sheets,191,72759,13896969,1551809.79
JSW-2022-0023,05-04-2023,10-04-2023,Ashoka Buildcon,Priya Patel,West,Goa,Long Steel,TMT Bars,137,57556,7885172,619233.09
JSW-2022-0024,30-10-2023,10-11-2023,Larsen & Toubro,Rahul Sharma,East,Bihar,Flat Steel,Hot Rolled Coils,236,81066,19131576,1237551.04
JSW-2022-0025,02-03-2022,07-03-2022,Ashoka Buildcon,Rahul Sharma,South,Karnataka,Long Steel,Rails,256,59008,15106048,2714519.95
JSW-2022-0026,14-05-2023,19-05-2023,Afcons Infrastructure,Amit Singh,West,Gujarat,Long Steel,Structural Steel,226,81422,18401372,2746969.63
JSW-2022-0027,28-02-2022,03-03-2022,IRB Infrastructure,Sneha Reddy,South,Tamil Nadu,Special Steel,Tool Steel,287,48994,14061278,2280687.74
JSW-2022-0028,11-03-2022,24-03-2022,Afcons Infrastructure,Sneha Reddy,Central,MP,Flat Steel,Hot Rolled Coils,445,57178,25444210,1533731.18
JSW-2022-0029,21-08-2023,02-09-2023,PNC Infratech,Amit Singh,North,Rajasthan,Flat Steel,Hot Rolled Coils,327,50372,16471644,1859380.73
JSW-2022-0030,15-05-2022,28-05-2022,NCC Limited,Sneha Reddy,East,Odisha,Special Steel,Tool Steel,170,60642,10309140,926195.58
JSW-2022-0031,17-03-2022,28-03-2022,Afcons Infrastructure,Vikram Nair,East,West Bengal,Flat Steel,Color Coated Sheets,328,81896,26861888,5356649.08
JSW-2022-0032,11-06-2022,21-06-2022,PNC Infratech,Amit Singh,East,Odisha,Long Steel,TMT Bars,460,61009,28064140,2958775.99
JSW-2022-0033,18-05-2022,25-05-2022,Tata Projects,Rahul Sharma,Central,MP,Special Steel,Tool Steel,163,51788,8441444,1610960.96
